t,vx_mm_s,vy_mm_s,wz_rad_s,velocity_mm_s,direction_deg,is_rotation_only,rpm_ref_M1,rpm_ref_M2,rpm_ref_M3,rpm_ref_M4,rpm_meas_M1,rpm_meas_M2,rpm_meas_M3,rpm_meas_M4,err_M1,err_M2,err_M3,err_M4,p_M1,p_M2,p_M3,p_M4,i_M1,i_M2,i_M3,i_M4,motor_sign_M1,motor_sign_M2,motor_sign_M3,motor_sign_M4,duty_ol_base_M1,duty_ol_base_M2,duty_ol_base_M3,duty_ol_base_M4,duty_pi_M1,duty_pi_M2,duty_pi_M3,duty_pi_M4
1783308228.505594,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.5257168,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.5455818,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.5655913,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.5856922,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.6055777,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.6255758,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.6455963,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.6656353,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.6856527,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.7055788,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.7256496,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.7455711,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.7655878,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.7856557,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.805693,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.8255804,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.8456604,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
