t,vx_mm_s,vy_mm_s,wz_rad_s,velocity_mm_s,direction_deg,is_rotation_only,rpm_ref_M1,rpm_ref_M2,rpm_ref_M3,rpm_ref_M4,rpm_meas_M1,rpm_meas_M2,rpm_meas_M3,rpm_meas_M4,err_M1,err_M2,err_M3,err_M4,p_M1,p_M2,p_M3,p_M4,i_M1,i_M2,i_M3,i_M4,motor_sign_M1,motor_sign_M2,motor_sign_M3,motor_sign_M4,duty_ol_base_M1,duty_ol_base_M2,duty_ol_base_M3,duty_ol_base_M4,duty_pi_M1,duty_pi_M2,duty_pi_M3,duty_pi_M4
1783308628.8255885,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.8456073,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.8655715,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.8856616,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.9055943,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.925716,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.9456377,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.9656036,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308628.9856613,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308629.0056665,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308629.025672,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,-0.0,0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.09255472075190221,0.09255472075190221,0.09255472075190221,0.09255472075190221,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.0455825,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,-0.0,0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.18510944150380443,0.18510944150380443,0.18510944150380443,0.18510944150380443,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.0656297,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,-0.0,0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.27766416225570667,0.27766416225570667,0.27766416225570667,0.27766416225570667,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.0856526,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.0,9.833857873243398,9.833857873243398,9.833857873243398,10.283857861322469,3.441850255635189,3.441850255635189,3.441850255635189,3.5993502514628637,0.36616888311489726,0.36616888311489726,0.36616888311489726,0.37021888300760886,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.105606,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.0,9.833857873243398,9.833857873243398,9.833857873243398,10.283857861322469,3.441850255635189,3.441850255635189,3.441850255635189,3.5993502514628637,0.45467360397408785,0.45467360397408785,0.45467360397408785,0.46277360375951104,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.1256764,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.0,9.833857873243398,9.833857873243398,9.833857873243398,10.283857861322469,3.441850255635189,3.441850255635189,3.441850255635189,3.5993502514628637,0.5431783248332784,0.5431783248332784,0.5431783248332784,0.5553283245114132,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.14563,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.899999976158142,0.7699999809265137,1.4500000476837158,0.6800000071525574,8.383857885164327,9.513857880395955,8.833857813638753,9.603857854169911,2.934350259807514,3.3298502581385843,3.0918502347735632,3.361350248959469,0.6186330457997574,0.6288030457568421,0.6226830451560272,0.6417630451989425,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.1657243,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.899999976158142,0.7699999809265137,1.4500000476837158,0.6800000071525574,8.383857885164327,9.513857880395955,8.833857813638753,9.603857854169911,2.934350259807514,3.3298502581385843,3.0918502347735632,3.361350248959469,0.6940877667662364,0.7144277666804058,0.702187765478776,0.7281977658864717,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.1856642,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.4600000381469727,1.899999976158142,2.1500000953674316,1.8300000429153442,7.823857823175496,8.383857885164327,8.133857765955037,8.453857818407124,2.7383502381114235,2.934350259807514,2.846850218084263,2.9588502364424936,0.7645024871748158,0.7898824876468847,0.7753924853723714,0.8042824862521358,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.2056417,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.4600000381469727,1.899999976158142,2.1500000953674316,1.8300000429153442,7.823857823175496,8.383857885164327,8.133857765955037,8.453857818407124,2.7383502381114235,2.934350259807514,2.846850218084263,2.9588502364424936,0.8349172075833953,0.8653372086133637,0.8485972052659667,0.8803672066178,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.225593,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.4600000381469727,1.899999976158142,2.1500000953674316,1.8300000429153442,7.823857823175496,8.383857885164327,8.133857765955037,8.453857818407124,2.7383502381114235,2.934350259807514,2.846850218084263,2.9588502364424936,0.9053319279919747,0.9407919295798427,0.921801925159562,0.9564519269834642,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308629.2456982,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.0799999237060547,3.140000104904175,3.309999942779541,2.869999885559082,7.203857937616414,7.143857756418294,6.973857918542928,7.413857975763387,2.5213502781657446,2.5003502147464025,2.4408502714900244,2.594850291517185,0.9701666494305224,1.0050866493876074,0.9845666464264484,1.0231766487653347,-1,1,-1,1,-13,13,-13,13,-16,17,-16,17
1783308629.2656128,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.0799999237060547,3.140000104904175,3.309999942779541,2.869999885559082,7.203857937616414,7.143857756418294,6.973857918542928,7.413857975763387,2.5213502781657446,2.5003502147464025,2.4408502714900244,2.594850291517185,1.0350013708690702,1.069381369195372,1.0473313676933347,1.0899013705472052,-1,1,-1,1,-13,13,-13,13,-17,17,-16,17
1783308629.2857373,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,4.199999809265137,4.010000228881836,4.360000133514404,3.819999933242798,6.083858052057332,6.273857632440633,5.923857727808064,6.463857928079671,2.129350318220066,2.195850171354221,2.0733502047328223,2.2623502748278845,1.0897560933375863,1.1258460878873378,1.1006460872436072,1.1480760918999222,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.3057232,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,4.199999809265137,4.010000228881836,4.360000133514404,3.819999933242798,6.083858052057332,6.273857632440633,5.923857727808064,6.463857928079671,2.129350318220066,2.195850171354221,2.0733502047328223,2.2623502748278845,1.1445108158061024,1.1823108065793035,1.1539608067938798,1.2062508132526393,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.3256104,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,4.199999809265137,4.010000228881836,4.360000133514404,3.819999933242798,6.083858052057332,6.273857632440633,5.923857727808064,6.463857928079671,2.129350318220066,2.195850171354221,2.0733502047328223,2.2623502748278845,1.1992655382746185,1.2387755252712693,1.2072755263441524,1.2644255346053563,-1,1,-1,1,-13,13,-13,13,-16,16,-16,17
1783308629.345631,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,5.199999809265137,5.070000171661377,5.539999961853027,4.710000038146973,5.083858052057332,5.213857689661092,4.743857899469441,5.573857823175496,1.779350318220066,1.824850191381382,1.6603502648143045,1.9508502381114234,1.2450202607431344,1.285700244478219,1.2499702474393772,1.314590255013936,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.3656015,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,5.199999809265137,5.070000171661377,5.539999961853027,4.710000038146973,5.083858052057332,5.213857689661092,4.743857899469441,5.573857823175496,1.779350318220066,1.824850191381382,1.6603502648143045,1.9508502381114234,1.2907749832116504,1.3326249636851688,1.292664968534602,1.3647549754225154,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.3856647,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,5.900000095367432,5.590000152587891,5.920000076293945,5.559999942779541,4.383857765955037,4.693857708734578,4.363857785028523,4.723857918542928,1.534350218084263,1.6428501980571022,1.527350224759983,1.6533502714900246,1.3302297031052457,1.37486968306378,1.331939688599859,1.4072696966894018,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.4057567,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,5.900000095367432,5.590000152587891,5.920000076293945,5.559999942779541,4.383857765955037,4.693857708734578,4.363857785028523,4.723857918542928,1.534350218084263,1.6428501980571022,1.527350224759983,1.6533502714900246,1.369684422998841,1.4171144024423914,1.3712144086651157,1.4497844179562882,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.4256048,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,5.900000095367432,5.590000152587891,5.920000076293945,5.559999942779541,4.383857765955037,4.693857708734578,4.363857785028523,4.723857918542928,1.534350218084263,1.6428501980571022,1.527350224759983,1.6533502714900246,1.4091391428924362,1.4593591218210027,1.4104891287303725,1.4922991392231746,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.4456532,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,6.849999904632568,6.400000095367432,6.630000114440918,6.159999847412109,3.4338579566899003,3.883857765955037,3.6538577468815507,4.123858013910359,1.201850284841465,1.359350218084263,1.2788502114085427,1.4433503048686256,1.4400438645026454,1.494313841714598,1.4433738484523064,1.5294138613483679,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.4655967,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,6.849999904632568,6.400000095367432,6.630000114440918,6.159999847412109,3.4338579566899003,3.883857765955037,3.6538577468815507,4.123858013910359,1.201850284841465,1.359350218084263,1.2788502114085427,1.4433503048686256,1.4709485861128546,1.5292685616081934,1.4762585681742404,1.5665285834735612,-1,1,-1,1,-13,13,-13,13,-16,16,-16,16
1783308629.4856753,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,8.1899995803833,7.199999809265137,7.809999942779541,7.25,2.093858280939168,3.083858052057332,2.4738579185429277,3.0338578613224687,0.7328503983287087,1.079350318220066,0.8658502714900247,1.061850251462864,1.489793310641307,1.5570232840767093,1.4985232894411267,1.5938333042254633,-1,1,-1,1,-13,13,-13,13,-15,16,-15,16
1783308629.505639,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,8.1899995803833,7.199999809265137,7.809999942779541,7.25,2.093858280939168,3.083858052057332,2.4738579185429277,3.0338578613224687,0.7328503983287087,1.079350318220066,0.8658502714900247,1.061850251462864,1.5086380351697595,1.5847780065452253,1.520788010708013,1.6211380249773655,-1,1,-1,1,-13,13,-13,13,-15,16,-15,16
1783308629.5256085,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,8.1899995803833,7.199999809265137,7.809999942779541,7.25,2.093858280939168,3.083858052057332,2.4738579185429277,3.0338578613224687,0.7328503983287087,1.079350318220066,0.8658502714900247,1.061850251462864,1.527482759698212,1.6125327290137412,1.5430527319748992,1.6484427457292676,-1,1,-1,1,-13,13,-13,13,-15,16,-15,16
1783308629.5457087,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,8.899999618530273,8.210000038146973,8.640000343322754,8.020000457763672,1.3838582427921953,2.073857823175496,1.6438575179997148,2.263857403558797,0.4843503849772683,0.7258502381114236,0.5753501312999001,0.7923500912455789,1.5399374838833417,1.6311974494223207,1.5578474496368966,1.6688174623612968,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.565629,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,8.899999618530273,8.210000038146973,8.640000343322754,8.020000457763672,1.3838582427921953,2.073857823175496,1.6438575179997148,2.263857403558797,0.4843503849772683,0.7258502381114236,0.5753501312999001,0.7923500912455789,1.5523922080684716,1.6498621698309002,1.572642167298894,1.689192178993326,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.5856743,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,9.399999618530273,8.920000076293945,9.220000267028809,8.779999732971191,0.8838582427921953,1.3638577850285234,1.0638575942936601,1.5038581283512773,0.3093503849772683,0.4773502247599832,0.37235015800278104,0.526350344922947,1.5603469322536012,1.6621368898961568,1.582216885647537,1.7027269021484874,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.6056604,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,9.399999618530273,8.920000076293945,9.220000267028809,8.779999732971191,0.8838582427921953,1.3638577850285234,1.0638575942936601,1.5038581283512773,0.3093503849772683,0.4773502247599832,0.37235015800278104,0.526350344922947,1.5683016564387309,1.6744116099614135,1.59179160399618,1.716261625303649,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.6257138,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,9.399999618530273,8.920000076293945,9.220000267028809,8.779999732971191,0.8838582427921953,1.3638577850285234,1.0638575942936601,1.5038581283512773,0.3093503849772683,0.4773502247599832,0.37235015800278104,0.526350344922947,1.5762563806238605,1.6866863300266701,1.601366322344823,1.7297963484588104,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.6455863,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,10.199999809265137,9.859999656677246,9.850000381469727,9.770000457763672,0.08385805205733199,0.4238582046452226,0.43385747985274214,0.5138574035587968,0.029350318220066195,0.1483503716258279,0.15185011794845973,0.17985009124557888,1.5770111030923766,1.690501053868477,1.6052710396634975,1.7344210650908396,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.665675,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,10.199999809265137,9.859999656677246,9.850000381469727,9.770000457763672,0.08385805205733199,0.4238582046452226,0.43385747985274214,0.5138574035587968,0.029350318220066195,0.1483503716258279,0.15185011794845973,0.17985009124557888,1.5777658255608926,1.694315777710284,1.609175756982172,1.7390457817228688,-1,1,-1,1,-13,13,-13,13,-15,15,-15,15
1783308629.685654,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,10.989999771118164,10.529999732971191,10.970000267028809,10.460000038146973,-0.7061419097956954,-0.2461418716487227,-0.6861424057063399,-0.17614217682450395,-0.24714966842849337,-0.08614965507705294,-0.24014984199721895,-0.061649761888576377,1.5714105483727314,1.6921005008654455,1.603000475330815,1.7374605021314482,-1,1,-1,1,-13,13,-13,13,-14,15,-14,15
